idx,inA,freqA.R,freqA.I,outA,freqB.R,freqB.I,outB,freqC.R,freqC.I,outC,freqD.R,freqD.I,outD,diffB,diffC,diffD
0,0.54881350,269.23925022,265.77327479,0.54881350,259.77554970,0.00000000,0.54881350,259.77554970,0.00000000,0.54881350,259.77554970,0.00000000,0.54881350,9.46370052,9.46370052,9.46370052,
1,0.59284462,-5.53853037,11.02624352,0.59284462,0.66382592,0.45388665,0.59284462,0.66382592,0.45388665,0.74925442,0.66382592,0.45388665,0.74925442,-6.20235629,-6.20235629,-6.20235629,
2,0.71518937,16.07293520,-30.31660156,0.71518937,4.03736569,1.16327515,0.71518937,4.03736569,1.16327515,0.08342243,4.03736569,1.16327515,0.08342243,12.03556951,12.03556951,12.03556951,
3,0.84426574,3.46576129,5.68940122,0.84426574,-1.79077452,-6.29562882,0.84426574,-1.79077452,-6.29562882,0.21745049,-1.79077452,-6.29562882,0.21745049,5.25653581,5.25653581,5.25653581,
4,0.60276337,-1.34689363,9.00949772,0.60276337,0.72284679,-1.74221837,0.60276337,0.72284679,-1.74221837,0.90371974,0.72284679,-1.74221837,0.90371974,-2.06974042,-2.06974042,-2.06974042,
5,0.85794562,0.35492285,20.29024177,0.85794562,0.45526594,-8.29873345,0.85794562,0.45526594,-8.29873345,0.09259616,0.45526594,-8.29873345,0.09259616,-0.10034309,-0.10034309,-0.10034309,
6,0.54488318,-0.92220858,0.21854638,0.54488318,-3.87945557,-1.18397928,0.54488318,-3.87945557,-1.18397928,0.74866362,-3.87945557,-1.18397928,0.74866362,2.95724699,2.95724699,2.95724699,
7,0.84725174,8.38926022,-2.59054553,0.84725174,8.28611203,-5.19197649,0.84725174,8.28611203,-5.19197649,0.74699424,8.28611203,-5.19197649,0.74699424,0.10314819,0.10314819,0.10314819,
8,0.42365480,-2.55858588,-23.97941535,0.42365480,-4.30823037,4.52978503,0.42365480,-4.30823037,4.52978503,0.76532525,-4.30823037,4.52978503,0.76532525,1.74964449,1.74964449,1.74964449,
9,0.62356370,-6.47510008,-7.24614970,0.62356370,0.75289323,-0.86510681,0.62356370,0.75289323,-0.86510681,0.03045297,0.75289323,-0.86510681,0.03045297,-7.22799331,-7.22799331,-7.22799331,
10,0.64589412,-12.98845633,22.00093042,0.64589412,0.84446190,-0.43574212,0.64589412,0.84446190,-0.43574212,0.94043195,0.84446190,-0.43574212,0.94043195,-13.83291823,-13.83291823,-13.83291823,
11,0.38438171,35.53525692,-6.09380118,0.38438171,7.80288517,5.56884118,0.38438171,7.80288517,5.56884118,0.72208066,7.80288517,5.56884118,0.72208066,27.73237175,27.73237175,27.73237175,
12,0.43758721,-21.31168628,22.54575422,0.43758721,3.63810697,1.14707589,0.43758721,3.63810697,1.14707589,0.35561274,3.63810697,1.14707589,0.35561274,-24.94979326,-24.94979326,-24.94979326,
13,0.29753461,-11.09435192,12.63011310,0.29753461,-3.04335374,-6.76394354,0.29753461,-3.04335374,-6.76394354,0.12483306,-3.04335374,-6.76394354,0.12483306,-8.05099818,-8.05099818,-8.05099818,
14,0.89177300,6.97618594,-2.02977546,0.89177300,4.74929875,-2.20114538,0.89177300,4.74929875,-2.20114538,0.48805628,4.74929875,-2.20114538,0.48805628,2.22688719,2.22688719,2.22688719,
15,0.05671298,9.59797086,3.84763774,0.05671298,5.37359786,-8.18797981,0.05671298,5.37359786,-8.18797981,0.16495887,5.37359786,-8.18797981,0.16495887,4.22437300,4.22437300,4.22437300,
16,0.96366276,-7.15658079,7.64454049,0.96366276,-3.96353604,-6.10033469,0.96366276,-3.96353604,-6.10033469,0.14484776,-3.96353604,-6.10033469,0.14484776,-3.19304475,-3.19304475,-3.19304475,
17,0.27265629,-18.15479843,-0.87929700,0.27265629,0.38661748,3.87580446,0.27265629,0.38661748,3.87580446,0.20486576,0.38661748,3.87580446,0.20486576,-18.54141591,-18.54141591,-18.54141591,
18,0.38344152,28.79258338,-7.91803468,0.38344152,0.25982415,5.48165598,0.38344152,0.25982415,5.48165598,0.18327984,0.25982415,5.48165598,0.18327984,28.53275924,28.53275924,28.53275924,
19,0.47766511,-5.01205756,28.47437145,0.47766511,6.72598112,0.09522711,0.47766511,6.72598112,0.09522711,0.84042854,6.72598112,0.09522711,0.84042854,-11.73803867,-11.73803867,-11.73803867,
20,0.79172503,-9.49650024,2.47051081,0.79172503,0.05332800,-1.31509964,0.79172503,0.05332800,-1.31509964,0.56542131,0.05332800,-1.31509964,0.56542131,-9.54982824,-9.54982824,-9.54982824,
21,0.81216873,-3.68263708,-16.69335980,0.81216873,-2.97977076,3.26242105,0.81216873,-2.97977076,3.26242105,0.46315020,-2.97977076,3.26242105,0.46315020,-0.70286632,-0.70286632,-0.70286632,
22,0.52889492,5.31757054,-6.64180033,0.52889492,2.10116525,-0.43292437,0.52889492,2.10116525,-0.43292437,0.39605970,2.10116525,-0.43292437,0.39605970,3.21640528,3.21640528,3.21640528,
23,0.47997717,1.54717773,17.63124019,0.47997717,-0.91324112,5.77603242,0.47997717,-0.91324112,5.77603242,0.70447426,-0.91324112,5.77603242,0.70447426,2.46041885,2.46041885,2.46041885,
24,0.56804456,-3.64300280,8.99831584,0.56804456,-3.60845782,2.72050988,0.56804456,-3.60845782,2.72050988,0.71685968,-3.60845782,2.72050988,0.71685968,-0.03454498,-0.03454498,-0.03454498,
25,0.39278479,-5.48858810,-4.90580559,0.39278479,3.75285750,-4.39418836,0.39278479,3.75285750,-4.39418836,0.17490887,3.75285750,-4.39418836,0.17490887,-9.24144560,-9.24144560,-9.24144560,
26,0.92559663,15.24634471,3.98058110,0.92559663,8.16142658,-3.35391447,0.92559663,8.16142658,-3.35391447,0.13206811,8.16142658,-3.35391447,0.13206811,7.08491813,7.08491813,7.08491813,
27,0.83607877,-8.05077423,-10.76075120,0.83607877,-3.21556372,2.28383152,0.83607877,-3.21556372,2.28383152,0.27689375,-3.21556372,2.28383152,0.27689375,-4.83521051,-4.83521051,-4.83521051,
28,0.07103606,21.46818154,-26.77411505,0.07103606,3.84562276,-7.52002630,0.07103606,3.84562276,-7.52002630,0.51737911,3.84562276,-7.52002630,0.51737911,17.62255878,17.62255878,17.62255878,
29,0.33739616,10.41747464,-12.68231092,0.33739616,2.00708974,-0.83049122,0.33739616,2.00708974,-0.83049122,0.67484735,2.00708974,-0.83049122,0.67484735,8.41038490,8.41038490,8.41038490,
30,0.08712930,-5.61740742,2.30712698,0.08712930,-3.26043982,0.12821082,0.08712930,-3.26043982,0.12821082,0.11753186,-3.26043982,0.12821082,0.11753186,-2.35696759,-2.35696759,-2.35696759,
31,0.64817188,-20.06507136,1.28403434,0.64817188,-13.11837026,-5.88396905,0.64817188,-13.11837026,-5.88396905,0.74707947,-13.11837026,-5.88396905,0.74707947,-6.94670110,-6.94670110,-6.94670110,
32,0.02021840,-17.40352644,-3.31147906,0.02021840,2.22292727,-4.79889191,0.02021840,2.22292727,-4.79889191,0.86385560,2.22292727,-4.79889191,0.86385560,-19.62645371,-19.62645371,-19.62645371,
33,0.36824154,-4.46400888,-14.40518177,0.36824154,5.38536209,0.27169101,0.36824154,5.38536209,0.27169101,0.80758027,5.38536209,0.27169101,0.80758027,-9.84937097,-9.84937097,-9.84937097,
34,0.83261984,-12.36270232,16.61857994,0.83261984,-6.09208138,3.09071397,0.83261984,-6.09208138,3.09071397,0.58678435,-6.09208138,3.09071397,0.58678435,-6.27062094,-6.27062094,-6.27062094,
35,0.95715515,7.15446964,-10.76013947,0.95715515,-7.58268403,3.54637250,0.95715515,-7.58268403,3.54637250,0.18645822,-7.58268403,3.54637250,0.18645822,14.73715367,14.73715367,14.73715367,
36,0.77815676,-4.81983165,-5.53196677,0.77815676,-3.51353320,-3.22280582,0.77815676,-3.51353320,-3.22280582,0.27762871,-3.51353320,-3.22280582,0.27762871,-1.30629845,-1.30629845,-1.30629845,
37,0.14035078,-4.29687832,24.80262376,0.14035078,-7.45759499,-3.57200500,0.14035078,-7.45759499,-3.57200500,0.21488074,-7.45759499,-3.57200500,0.21488074,3.16071668,3.16071668,3.16071668,
38,0.87001215,0.10706794,7.23005018,0.87001215,2.70971071,-2.16775846,0.87001215,2.70971071,-2.16775846,0.46357542,2.70971071,-2.16775846,0.46357542,-2.60264277,-2.60264277,-2.60264277,
39,0.87008725,-7.21731749,-16.62501569,0.87008725,-1.32642494,12.05794757,0.87008725,-1.32642494,12.05794757,0.64626444,-1.32642494,12.05794757,0.64626444,-5.89089256,-5.89089256,-5.89089256,
40,0.97861834,18.39434263,5.78974958,0.97861834,-4.98784489,-7.45553037,0.97861834,-4.98784489,-7.45553037,0.37416998,-4.98784489,-7.45553037,0.37416998,23.38218751,23.38218751,23.38218751,
41,0.47360804,30.84472535,7.97092627,0.47360804,9.19075221,-5.40853253,0.47360804,9.19075221,-5.40853253,0.73044218,9.19075221,-5.40853253,0.73044218,21.65397315,21.65397315,21.65397315,
42,0.79915856,23.99833252,-14.50618914,0.79915856,-4.80387773,-3.31122704,0.79915856,-4.80387773,-3.31122704,0.42468547,-4.80387773,-3.31122704,0.42468547,28.80221025,28.80221025,28.80221025,
43,0.80091075,12.26201968,4.65763129,0.80091075,-0.86205265,-2.03653593,0.80091075,-0.86205265,-2.03653593,0.15369430,-0.86205265,-2.03653593,0.15369430,13.12407234,13.12407234,13.12407234,
44,0.46147936,15.70929734,-0.05167725,0.46147936,-6.78088484,-2.24841840,0.46147936,-6.78088484,-2.24841840,0.20747008,-6.78088484,-2.24841840,0.20747008,22.49018217,22.49018217,22.49018217,
45,0.52047748,3.71751352,25.52361471,0.52047748,2.18812093,-12.58159344,0.52047748,2.18812093,-12.58159344,0.71158382,2.18812093,-12.58159344,0.71158382,1.52939259,1.52939259,1.52939259,
46,0.78052918,11.64581906,11.34105097,0.78052918,4.14416296,1.74395517,0.78052918,4.14416296,1.74395517,0.02566271,4.14416296,1.74395517,0.02566271,7.50165610,7.50165610,7.50165610,
47,0.67887953,4.34757557,-19.13442194,0.67887953,2.61479842,0.96179641,0.67887953,2.61479842,0.96179641,0.47175158,2.61479842,0.96179641,0.47175158,1.73277715,1.73277715,1.73277715,
48,0.11827442,-24.85241862,2.60213794,0.11827442,3.75077148,-5.88782221,0.11827442,3.75077148,-5.88782221,0.51820071,3.75077148,-5.88782221,0.51820071,-28.60319011,-28.60319011,-28.60319011,
49,0.72063265,-7.91168268,-2.42053831,0.72063265,-0.01631873,-2.80159562,0.72063265,-0.01631873,-2.80159562,0.95745086,-0.01631873,-2.80159562,0.95745086,-7.89536394,-7.89536394,-7.89536394,
50,0.63992102,5.62623454,0.40226455,0.63992102,3.66273597,-3.66554608,0.63992102,3.66273597,-3.66554608,0.21331197,3.66273597,-3.66554608,0.21331197,1.96349856,1.96349856,1.96349856,
51,0.58201979,-5.40326463,-18.93546497,0.58201979,1.19744745,1.36196089,0.58201979,1.19744745,1.36196089,0.31369240,1.19744745,1.36196089,0.31369240,-6.60071208,-6.60071208,-6.60071208,
52,0.14335329,10.53310097,8.69868849,0.14335329,-2.54439118,1.54801744,0.14335329,-2.54439118,1.54801744,0.25394165,-2.54439118,1.54801744,0.25394165,13.07749215,13.07749215,13.07749215,
53,0.53737323,-19.03562694,-13.68348785,0.53737323,0.87386253,5.03493457,0.53737323,0.87386253,5.03493457,0.88029760,0.87386253,5.03493457,0.88029760,-19.90948947,-19.90948947,-19.90948947,
54,0.94466892,-8.71527171,8.24670425,0.94466892,-3.60433422,3.13205832,0.94466892,-3.60433422,3.13205832,0.73085580,-3.60433422,3.13205832,0.73085580,-5.11093749,-5.11093749,-5.11093749,
55,0.75861562,2.20611335,-4.31976903,0.75861562,2.18702235,0.43767023,0.75861562,2.18702235,0.43767023,0.22944183,2.18702235,0.43767023,0.22944183,0.01909100,0.01909100,0.01909100,
56,0.52184833,1.61287159,6.69061520,0.52184833,1.66872233,0.12005976,0.52184833,1.66872233,0.12005976,0.94737059,1.66872233,0.12005976,0.94737059,-0.05585074,-0.05585074,-0.05585074,
57,0.10590761,-12.92701884,-0.30017621,0.10590761,-2.94133555,6.64941222,0.10590761,-2.94133555,6.64941222,0.78873942,-2.94133555,6.64941222,0.78873942,-9.98568329,-9.98568329,-9.98568329,
58,0.41466194,0.65867770,7.00359722,0.41466194,1.59116283,0.64805701,0.41466194,1.59116283,0.64805701,0.21550768,1.59116283,0.64805701,0.21550768,-0.93248514,-0.93248514,-0.93248514,
59,0.47360042,-7.26267504,-0.47494613,0.47360042,-0.60687261,-3.26175137,0.47360042,-0.60687261,-3.26175137,0.48340862,-0.60687261,-3.26175137,0.48340862,-6.65580243,-6.65580243,-6.65580243,
60,0.26455561,7.38445628,3.93669624,0.26455561,-2.96620495,-3.96967646,0.26455561,-2.96620495,-3.96967646,0.68748827,-2.96620495,-3.96967646,0.68748827,10.35066123,10.35066123,10.35066123,
61,0.18633234,19.80785383,-2.53983417,0.18633234,0.61650179,-8.04439355,0.18633234,0.61650179,-8.04439355,0.45612977,0.61650179,-8.04439355,0.45612977,19.19135203,19.19135203,19.19135203,
62,0.77423369,-9.52860771,23.84347627,0.77423369,-7.34237357,5.45802488,0.77423369,-7.34237357,5.45802488,0.95279166,-7.34237357,5.45802488,0.95279166,-2.18623414,-2.18623414,-2.18623414,
63,0.73691818,-1.68188098,-3.00510314,0.73691818,2.62105758,-5.03434964,0.73691818,2.62105758,-5.03434964,0.67987946,2.62105758,-5.03434964,0.67987946,-4.30293856,-4.30293856,-4.30293856,
64,0.45615034,260.58118286,256.29304411,0.45615034,10.78724678,-1.67203475,0.45615034,10.78724678,-1.67203475,0.18563594,10.78724678,-1.67203475,0.18563594,249.79393608,249.79393608,249.79393608,
65,0.21655036,5.76914124,11.72631984,0.21655036,0.15585756,-2.52251389,0.21655036,0.15585756,-2.52251389,0.88533766,0.15585756,-2.52251389,0.88533766,5.61328368,5.61328368,5.61328368,
66,0.56843395,20.81694833,-5.30721514,0.56843395,0.75770427,4.03699309,0.56843395,0.75770427,4.03699309,0.79804683,0.75770427,4.03699309,0.79804683,20.05924406,20.05924406,20.05924406,
67,0.13521817,3.25327100,-4.28936519,0.13521817,-1.00868236,2.24103528,0.13521817,-1.00868236,2.24103528,0.42545154,-1.00868236,2.24103528,0.42545154,4.26195336,4.26195336,4.26195336,
68,0.01878980,-13.48174149,8.94372014,0.01878980,-7.27675661,-0.17513732,0.01878980,-7.27675661,-0.17513732,0.27354203,-7.27675661,-0.17513732,0.27354203,-6.20498488,-6.20498488,-6.20498488,
69,0.32414100,2.10124082,-4.54139034,0.32414100,0.82844613,-1.52335026,0.32414100,0.82844613,-1.52335026,0.31186022,0.82844613,-1.52335026,0.31186022,1.27279469,1.27279469,1.27279469,
70,0.61763550,-1.58652307,-22.77811760,0.61763550,-0.17660260,1.03551578,0.61763550,-0.17660260,1.03551578,0.87265066,-0.17660260,1.03551578,0.87265066,-1.40992047,-1.40992047,-1.40992047,
71,0.14967486,24.34735317,-4.92692025,0.14967486,-5.70609177,-3.47709644,0.14967486,-5.70609177,-3.47709644,0.00005535,-5.70609177,-3.47709644,0.00005535,30.05344493,30.05344493,30.05344493,
72,0.61209572,0.92724032,-12.76031568,0.61209572,-2.65057578,6.75952157,0.61209572,-2.65057578,6.75952157,0.62898185,-2.65057578,6.75952157,0.62898185,3.57781610,3.57781610,3.57781610,
73,0.22232139,4.36954137,3.26296810,0.22232139,-0.85632068,5.67508425,0.22232139,-0.85632068,5.67508425,0.51971119,-0.85632068,5.67508425,0.51971119,5.22586205,5.22586205,5.22586205,
74,0.61693400,-6.74788680,-2.13262406,0.61693400,8.22368386,-5.15309044,0.61693400,8.22368386,-5.15309044,0.83104846,8.22368386,-5.15309044,0.83104846,-14.97157067,-14.97157067,-14.97157067,
75,0.38648898,-3.01293693,3.26676853,0.38648898,5.09065436,-6.76822464,0.38648898,5.09065436,-6.76822464,0.32468297,5.09065436,-6.76822464,0.32468297,-8.10359129,-8.10359129,-8.10359129,
76,0.94374808,3.43600326,4.96551981,0.94374808,4.37348947,-4.02166651,0.94374808,4.37348947,-4.02166651,0.58831712,4.37348947,-4.02166651,0.58831712,-0.93748621,-0.93748621,-0.93748621,
77,0.90259847,-10.45352435,-1.79104153,0.90259847,-0.64788168,-3.25763273,0.90259847,-0.64788168,-3.25763273,0.64578460,-0.64788168,-3.25763273,0.64578460,-9.80564266,-9.80564266,-9.80564266,
78,0.68182030,13.17329464,11.01843507,0.68182030,4.44216133,5.30803823,0.68182030,4.44216133,5.30803823,0.38346389,4.44216133,5.30803823,0.38346389,8.73113331,8.73113331,8.73113331,
79,0.44994999,2.31624135,10.30499860,0.44994999,-4.86609238,3.83693508,0.44994999,-4.86609238,3.83693508,0.90442498,-4.86609238,3.83693508,0.90442498,7.18233373,7.18233373,7.18233373,
80,0.35950790,7.15401627,3.21506442,0.35950790,2.96926902,-6.32092026,0.35950790,2.96926902,-6.32092026,0.32001714,2.96926902,-6.32092026,0.32001714,4.18474725,4.18474725,4.18474725,
81,0.61306346,29.85304658,-4.36717157,0.61306346,-2.28461300,-8.66869759,0.61306346,-2.28461300,-8.66869759,0.88158540,-2.28461300,-8.66869759,0.88158540,32.13765958,32.13765958,32.13765958,
82,0.43703195,-22.96870194,0.13239030,0.43703195,4.99133473,3.57740896,0.43703195,4.99133473,3.57740896,0.75837865,4.99133473,3.57740896,0.75837865,-27.96003668,-27.96003668,-27.96003668,
83,0.90234858,1.63114181,50.01617990,0.90234858,-2.59837610,-3.53480446,0.90234858,-2.59837610,-3.53480446,0.22921932,-2.59837610,-3.53480446,0.22921932,4.22951791,4.22951791,4.22951791,
84,0.69763120,-2.96382692,8.73774581,0.69763120,-0.09662745,-1.89533494,0.69763120,-0.09662745,-1.89533494,0.02065100,-0.09662745,-1.89533494,0.02065100,-2.86719947,-2.86719947,-2.86719947,
85,0.09928035,-4.21964933,7.37697326,0.09928035,-6.69469708,2.95655617,0.09928035,-6.69469708,2.95655617,0.13722042,-6.69469708,2.95655617,0.13722042,2.47504775,2.47504775,2.47504775,
86,0.06022547,9.11484771,-3.12730984,0.06022547,-0.52027177,3.75635291,0.06022547,-0.52027177,3.75635291,0.26332238,-0.52027177,3.75635291,0.26332238,9.63511948,9.63511948,9.63511948,
87,0.96980907,11.25574249,2.00266782,0.96980907,2.91341411,-1.76509802,0.96980907,2.91341411,-1.76509802,0.90641809,2.91341411,-1.76509802,0.90641809,8.34232837,8.34232837,8.34232837,
88,0.66676671,-4.78265177,-15.67156805,0.66676671,3.54730095,-3.05224553,0.66676671,3.54730095,-3.05224553,0.66307820,3.54730095,-3.05224553,0.66307820,-8.32995273,-8.32995273,-8.32995273,
89,0.65314003,-0.14852661,8.18107800,0.65314003,-4.68630565,-1.22685692,0.65314003,-4.68630565,-1.22685692,0.45601462,-4.68630565,-1.22685692,0.45601462,4.53777904,4.53777904,4.53777904,
90,0.67063787,4.10506875,21.54616809,0.67063787,-1.42900021,3.32789386,0.67063787,-1.42900021,3.32789386,0.21689698,-1.42900021,3.32789386,0.21689698,5.53406896,5.53406896,5.53406896,
91,0.17090959,-6.76547801,-10.99726600,0.17090959,-2.00248871,4.83184010,0.17090959,-2.00248871,4.83184010,0.46949719,-2.00248871,4.83184010,0.46949719,-4.76298929,-4.76298929,-4.76298929,
92,0.21038256,23.36120329,18.42388132,0.21038256,2.05490076,-2.02144455,0.21038256,2.05490076,-2.02144455,0.99033895,2.05490076,-2.02144455,0.99033895,21.30630253,21.30630253,21.30630253,
93,0.35815217,-2.73476244,-9.83599238,0.35815217,2.88963568,-0.15371141,0.35815217,2.88963568,-0.15371141,0.71469693,2.88963568,-0.15371141,0.71469693,-5.62439812,-5.62439812,-5.62439812,
94,0.12892630,-35.60820468,0.36843768,0.12892630,8.50750654,1.78287833,0.12892630,8.50750654,1.78287833,0.89667129,8.50750654,1.78287833,0.89667129,-44.11571123,-44.11571123,-44.11571123,
95,0.75068614,-3.14753752,3.59404354,0.75068614,2.15147918,-0.27795757,0.75068614,2.15147918,-0.27795757,0.60704506,2.15147918,-0.27795757,0.60704506,-5.29901670,-5.29901670,-5.29901670,
96,0.31542835,8.86899103,26.85689176,0.31542835,-7.14455909,5.50496924,0.31542835,-7.14455909,5.50496924,0.53657921,-7.14455909,5.50496924,0.53657921,16.01355012,16.01355012,16.01355012,
