idx,inA,freqA.R,freqA.I,outA,freqB.R,freqB.I,outB,freqC.R,freqC.I,outC,freqD.R,freqD.I,outD,diffB,diffC,diffD
0,0.54881350,66.07590435,0.00000000,0.54881350,66.07590435,0.00000000,0.54881350,66.07590435,0.00000000,0.54881350,66.07590435,0.00000000,0.54881350,0.00000000,0.00000000,0.00000000,
1,0.59284462,0.76607538,-3.15526257,0.59284462,0.76607538,-3.15526257,0.59284462,0.76607538,-3.15526257,0.77834548,0.76607538,-3.15526257,0.77834548,-0.00000000,-0.00000000,-0.00000000,
2,0.71518937,-1.33113744,-0.12442531,0.71518937,-1.33113744,-0.12442531,0.71518937,-1.33113744,-0.12442531,0.13818295,-1.33113744,-0.12442531,0.13818295,0.00000000,0.00000000,0.00000000,
3,0.84426574,3.66732031,-0.63711279,0.84426574,3.66732031,-0.63711279,0.84426574,3.66732031,-0.63711279,0.31720174,3.66732031,-0.63711279,0.31720174,0.00000000,0.00000000,0.00000000,
4,0.60276337,-3.07275278,-3.49622234,0.60276337,-3.07275278,-3.49622234,0.60276337,-3.07275278,-3.49622234,0.65632959,-3.07275278,-3.49622234,0.65632959,0.00000000,0.00000000,0.00000000,
5,0.85794562,1.83834827,-2.58494565,0.85794562,1.83834827,-2.58494565,0.85794562,1.83834827,-2.58494565,0.67475232,1.83834827,-2.58494565,0.67475232,0.00000000,0.00000000,-0.00000000,
6,0.54488318,3.30623868,0.78190585,0.54488318,3.30623868,0.78190585,0.54488318,3.30623868,0.78190585,0.11037514,3.30623868,0.78190585,0.11037514,0.00000000,0.00000000,0.00000000,
7,0.84725174,2.18965938,-4.08329293,0.84725174,2.18965938,-4.08329293,0.84725174,2.18965938,-4.08329293,0.33800762,2.18965938,-4.08329293,0.33800762,0.00000000,0.00000000,-0.00000000,
8,0.42365480,-1.80421920,-1.33673094,0.42365480,-1.80421920,-1.33673094,0.42365480,-1.80421920,-1.33673094,0.15896959,-1.80421920,-1.33673094,0.15896959,0.00000000,0.00000000,0.00000000,
9,0.62356370,-1.89900812,-0.47548378,0.62356370,-1.89900812,-0.47548378,0.62356370,-1.89900812,-0.47548378,0.62351011,-1.89900812,-0.47548378,0.62351011,-0.00000000,-0.00000000,-0.00000000,
10,0.64589412,3.21302194,0.81126132,0.64589412,3.21302194,0.81126132,0.64589412,3.21302194,0.81126132,0.24442559,3.21302194,0.81126132,0.24442559,-0.00000000,-0.00000000,0.00000000,
11,0.38438171,-1.51492678,-0.18315344,0.38438171,-1.51492678,-0.18315344,0.38438171,-1.51492678,-0.18315344,0.47469751,-1.51492678,-0.18315344,0.47469751,0.00000000,0.00000000,0.00000000,
12,0.43758721,0.86417740,-1.04364654,0.43758721,0.86417740,-1.04364654,0.43758721,0.86417740,-1.04364654,0.46631077,0.86417740,-1.04364654,0.46631077,0.00000000,0.00000000,-0.00000000,
13,0.29753461,-2.96121858,0.90932289,0.29753461,-2.96121858,0.90932289,0.29753461,-2.96121858,0.90932289,0.41436859,-2.96121858,0.90932289,0.41436859,-0.00000000,-0.00000000,0.00000000,
14,0.89177300,-0.35258952,0.84019564,0.89177300,-0.35258952,0.84019564,0.89177300,-0.35258952,0.84019564,0.25329160,-0.35258952,0.84019564,0.25329160,-0.00000000,-0.00000000,0.00000000,
15,0.05671298,-0.17788474,-3.48569772,0.05671298,-0.17788474,-3.48569772,0.05671298,-0.17788474,-3.48569772,0.58185033,-0.17788474,-3.48569772,0.58185033,-0.00000000,-0.00000000,-0.00000000,
16,0.96366276,2.66613768,-0.22694489,0.96366276,2.66613768,-0.22694489,0.96366276,2.66613768,-0.22694489,0.65310832,2.66613768,-0.22694489,0.65310832,0.00000000,0.00000000,0.00000000,
17,0.27265629,-0.48652528,1.31091635,0.27265629,-0.48652528,1.31091635,0.27265629,-0.48652528,1.31091635,0.99529957,-0.48652528,1.31091635,0.99529957,-0.00000000,-0.00000000,-0.00000000,
18,0.38344152,-2.32425313,5.04666126,0.38344152,-2.32425313,5.04666126,0.38344152,-2.32425313,5.04666126,0.16130951,-2.32425313,5.04666126,0.16130951,0.00000000,0.00000000,0.00000000,
19,0.47766511,-0.39753677,-4.54905425,0.47766511,-0.39753677,-4.54905425,0.47766511,-0.39753677,-4.54905425,0.63505888,-0.39753677,-4.54905425,0.63505888,-0.00000000,-0.00000000,-0.00000000,
20,0.79172503,1.15279533,-2.28267553,0.79172503,1.15279533,-2.28267553,0.79172503,1.15279533,-2.28267553,0.20887676,1.15279533,-2.28267553,0.20887676,-0.00000000,-0.00000000,-0.00000000,
21,0.81216873,-3.18800834,-1.49620071,0.81216873,-3.18800834,-1.49620071,0.81216873,-3.18800834,-1.49620071,0.65279032,-3.18800834,-1.49620071,0.65279032,-0.00000000,-0.00000000,0.00000000,
22,0.52889492,0.87219679,-2.27691087,0.52889492,0.87219679,-2.27691087,0.52889492,0.87219679,-2.27691087,0.10204481,0.87219679,-2.27691087,0.10204481,0.00000000,0.00000000,-0.00000000,
23,0.47997717,2.18829321,3.02277759,0.47997717,2.18829321,3.02277759,0.47997717,2.18829321,3.02277759,0.95894927,2.18829321,3.02277759,0.95894927,0.00000000,0.00000000,0.00000000,
24,0.56804456,-1.49116175,0.03711336,0.56804456,-1.49116175,0.03711336,0.56804456,-1.49116175,0.03711336,0.98837383,-1.49116175,0.03711336,0.98837383,-0.00000000,-0.00000000,0.00000000,
25,0.39278479,2.09833669,-0.25129911,0.39278479,2.09833669,-0.25129911,0.39278479,2.09833669,-0.25129911,0.63427405,2.09833669,-0.25129911,0.63427405,0.00000000,0.00000000,0.00000000,
26,0.92559663,3.90401854,-1.56271518,0.92559663,3.90401854,-1.56271518,0.92559663,3.90401854,-1.56271518,0.43860151,3.90401854,-1.56271518,0.43860151,0.00000000,0.00000000,-0.00000000,
27,0.83607877,-2.25573404,-1.57623457,0.83607877,-2.25573404,-1.57623457,0.83607877,-2.25573404,-1.57623457,0.03842543,-2.25573404,-1.57623457,0.03842543,0.00000000,0.00000000,-0.00000000,
28,0.07103606,0.22190174,2.43669372,0.07103606,0.22190174,2.43669372,0.07103606,0.22190174,2.43669372,0.57019678,0.22190174,2.43669372,0.57019678,0.00000000,0.00000000,0.00000000,
29,0.33739616,0.87449604,0.50146366,0.33739616,0.87449604,0.50146366,0.33739616,0.87449604,0.50146366,0.32504723,0.87449604,0.50146366,0.32504723,-0.00000000,-0.00000000,0.00000000,
30,0.08712930,0.85818749,-0.34438661,0.08712930,0.85818749,-0.34438661,0.08712930,0.85818749,-0.34438661,0.36371077,0.85818749,-0.34438661,0.36371077,-0.00000000,-0.00000000,-0.00000000,
31,0.64817188,1.94588143,-4.32924922,0.64817188,1.94588143,-4.32924922,0.64817188,1.94588143,-4.32924922,0.60783067,1.94588143,-4.32924922,0.60783067,-0.00000000,-0.00000000,-0.00000000,
32,0.02021840,-0.69573644,4.86507799,0.02021840,-0.69573644,4.86507799,0.02021840,-0.69573644,4.86507799,0.31542835,-0.69573644,4.86507799,0.31542835,0.00000000,0.00000000,0.00000000,
33,0.36824154,4.48538081,3.19199160,0.36824154,4.48538081,3.19199160,0.36824154,4.48538081,3.19199160,0.75068614,4.48538081,3.19199160,0.75068614,-0.00000000,-0.00000000,0.00000000,
34,0.83261984,-2.76675199,-1.31747488,0.83261984,-2.76675199,-1.31747488,0.83261984,-2.76675199,-1.31747488,0.12892630,-2.76675199,-1.31747488,0.12892630,-0.00000000,-0.00000000,0.00000000,
35,0.95715515,-0.99745050,2.73183595,0.95715515,-0.99745050,2.73183595,0.95715515,-0.99745050,2.73183595,0.35815217,-0.99745050,2.73183595,0.35815217,0.00000000,0.00000000,0.00000000,
36,0.77815676,-2.46431694,2.25120898,0.77815676,-2.46431694,2.25120898,0.77815676,-2.46431694,2.25120898,0.21038256,-2.46431694,2.25120898,0.21038256,-0.00000000,-0.00000000,0.00000000,
37,0.14035078,2.18494756,-0.90465604,0.14035078,2.18494756,-0.90465604,0.14035078,2.18494756,-0.90465604,0.17090959,2.18494756,-0.90465604,0.17090959,-0.00000000,-0.00000000,0.00000000,
38,0.87001215,0.67085681,3.93163476,0.87001215,0.67085681,3.93163476,0.87001215,0.67085681,3.93163476,0.67063787,0.67085681,3.93163476,0.67063787,0.00000000,0.00000000,-0.00000000,
39,0.87008725,1.44994686,-0.89309612,0.87008725,1.44994686,-0.89309612,0.87008725,1.44994686,-0.89309612,0.65314003,1.44994686,-0.89309612,0.65314003,0.00000000,0.00000000,-0.00000000,
40,0.97861834,-0.48939717,-0.86615556,0.97861834,-0.48939717,-0.86615556,0.97861834,-0.48939717,-0.86615556,0.66676671,-0.48939717,-0.86615556,0.66676671,-0.00000000,-0.00000000,-0.00000000,
41,0.47360804,-0.00284359,1.03021256,0.47360804,-0.00284359,1.03021256,0.47360804,-0.00284359,1.03021256,0.96980907,-0.00284359,1.03021256,0.96980907,-0.00000000,-0.00000000,0.00000000,
42,0.79915856,-2.48330361,0.26478016,0.79915856,-2.48330361,0.26478016,0.79915856,-2.48330361,0.26478016,0.06022547,-2.48330361,0.26478016,0.06022547,0.00000000,0.00000000,0.00000000,
43,0.80091075,0.08040430,-0.66587657,0.80091075,0.08040430,-0.66587657,0.80091075,0.08040430,-0.66587657,0.09928035,0.08040430,-0.66587657,0.09928035,-0.00000000,-0.00000000,-0.00000000,
44,0.46147936,0.39952017,2.28851297,0.46147936,0.39952017,2.28851297,0.46147936,0.39952017,2.28851297,0.69763120,0.39952017,2.28851297,0.69763120,0.00000000,0.00000000,0.00000000,
45,0.52047748,-1.51812102,0.35570124,0.52047748,-1.51812102,0.35570124,0.52047748,-1.51812102,0.35570124,0.90234858,-1.51812102,0.35570124,0.90234858,0.00000000,0.00000000,-0.00000000,
46,0.78052918,-0.02256869,0.50716919,0.78052918,-0.02256869,0.50716919,0.78052918,-0.02256869,0.50716919,0.43703195,-0.02256869,0.50716919,0.43703195,-0.00000000,-0.00000000,0.00000000,
47,0.67887953,0.14231355,2.29889070,0.67887953,0.14231355,2.29889070,0.67887953,0.14231355,2.29889070,0.61306346,0.14231355,2.29889070,0.61306346,0.00000000,0.00000000,0.00000000,
48,0.11827442,-0.60491036,0.94443840,0.11827442,-0.60491036,0.94443840,0.11827442,-0.60491036,0.94443840,0.35950790,-0.60491036,0.94443840,0.35950790,0.00000000,0.00000000,0.00000000,
49,0.72063265,-0.65470789,-1.64938785,0.72063265,-0.65470789,-1.64938785,0.72063265,-0.65470789,-1.64938785,0.44994999,-0.65470789,-1.64938785,0.44994999,0.00000000,0.00000000,-0.00000000,
50,0.63992102,1.75679895,-1.05246495,0.63992102,1.75679895,-1.05246495,0.63992102,1.75679895,-1.05246495,0.68182030,1.75679895,-1.05246495,0.68182030,0.00000000,0.00000000,0.00000000,
51,0.58201979,-3.27101080,0.84320236,0.58201979,-3.27101080,0.84320236,0.58201979,-3.27101080,0.84320236,0.90259847,-3.27101080,0.84320236,0.90259847,-0.00000000,-0.00000000,0.00000000,
52,0.14335329,-2.66464495,1.21633046,0.14335329,-2.66464495,1.21633046,0.14335329,-2.66464495,1.21633046,0.94374808,-2.66464495,1.21633046,0.94374808,0.00000000,0.00000000,0.00000000,
53,0.53737323,0.67845786,-0.00204873,0.53737323,0.67845786,-0.00204873,0.53737323,0.67845786,-0.00204873,0.38648898,0.67845786,-0.00204873,0.38648898,-0.00000000,-0.00000000,0.00000000,
54,0.94466892,4.78643503,-0.85683520,0.94466892,4.78643503,-0.85683520,0.94466892,4.78643503,-0.85683520,0.61693400,4.78643503,-0.85683520,0.61693400,0.00000000,0.00000000,0.00000000,
55,0.75861562,3.47543751,0.90953048,0.75861562,3.47543751,0.90953048,0.75861562,3.47543751,0.90953048,0.22232139,3.47543751,0.90953048,0.22232139,0.00000000,0.00000000,0.00000000,
56,0.52184833,-2.14805342,1.01972717,0.52184833,-2.14805342,1.01972717,0.52184833,-2.14805342,1.01972717,0.61209572,-2.14805342,1.01972717,0.61209572,0.00000000,0.00000000,0.00000000,
57,0.10590761,2.03176898,0.35430393,0.10590761,2.03176898,0.35430393,0.10590761,2.03176898,0.35430393,0.14967486,2.03176898,0.35430393,0.14967486,0.00000000,0.00000000,-0.00000000,
58,0.41466194,-0.51316945,-4.48187374,0.41466194,-0.51316945,-4.48187374,0.41466194,-0.51316945,-4.48187374,0.61763550,-0.51316945,-4.48187374,0.61763550,-0.00000000,-0.00000000,0.00000000,
59,0.47360042,-2.49498549,-3.69502775,0.47360042,-2.49498549,-3.69502775,0.47360042,-2.49498549,-3.69502775,0.32414100,-2.49498549,-3.69502775,0.32414100,0.00000000,0.00000000,-0.00000000,
60,0.26455561,-0.46822258,2.70398945,0.26455561,-0.46822258,2.70398945,0.26455561,-0.46822258,2.70398945,0.01878980,-0.46822258,2.70398945,0.01878980,0.00000000,0.00000000,0.00000000,
