idx,inA,freqA.R,freqA.I,outA,freqB.R,freqB.I,outB,freqC.R,freqC.I,outC,freqD.R,freqD.I,outD,diffB,diffC,diffD
0,0.54881350,133.64652980,138.32740577,0.54881350,132.84857087,0.00000000,0.54881350,132.84857087,0.00000000,0.54881350,132.84857087,0.00000000,0.54881350,0.79795894,0.79795894,0.79795894,
1,0.59284462,2.58426359,-11.75757708,0.59284462,6.68021717,0.21036600,0.59284462,6.68021717,0.21036600,0.71607453,6.68021717,0.21036600,0.71607453,-4.09595358,-4.09595358,-4.09595358,
2,0.71518937,9.16841303,7.08805559,0.71518937,2.69874355,0.66955929,0.71518937,2.69874355,0.66955929,0.30157482,2.69874355,0.66955929,0.30157482,6.46966948,6.46966948,6.46966948,
3,0.84426574,3.66299008,3.57855979,0.84426574,-2.57571968,2.30415069,0.84426574,-2.57571968,2.30415069,0.47013219,-2.57571968,2.30415069,0.47013219,6.23870976,6.23870976,6.23870976,
4,0.60276337,-4.25566172,-6.70897066,0.60276337,-4.05511391,0.45944194,0.60276337,-4.05511391,0.45944194,0.01919320,-4.05511391,0.45944194,0.01919320,-0.20054782,-0.20054782,-0.20054782,
5,0.85794562,-1.13045758,17.35632821,0.85794562,-1.33801787,0.92386761,0.85794562,-1.33801787,0.92386761,0.47486752,-1.33801787,0.92386761,0.47486752,0.20756029,0.20756029,0.20756029,
6,0.54488318,-16.19594595,14.00043532,0.54488318,5.85155246,-3.10150566,0.54488318,5.85155246,-3.10150566,0.60639322,5.85155246,-3.10150566,0.60639322,-22.04749841,-22.04749841,-22.04749841,
7,0.84725174,-0.20116922,-6.47706159,0.84725174,2.65866249,0.24319252,0.84725174,2.65866249,0.24319252,0.61880856,2.65866249,0.24319252,0.61880856,-2.85983171,-2.85983171,-2.85983171,
8,0.42365480,-11.84080074,4.33385993,0.42365480,-6.50518322,-5.04543185,0.42365480,-6.50518322,-5.04543185,0.42385504,-6.50518322,-5.04543185,0.42385504,-5.33561751,-5.33561751,-5.33561751,
9,0.62356370,9.42067806,-19.72447389,0.62356370,-0.14292575,2.98979975,0.62356370,-0.14292575,2.98979975,0.39486929,-0.14292575,2.98979975,0.39486929,9.56360381,9.56360381,9.56360381,
10,0.64589412,-11.37221394,5.19072130,0.64589412,-1.39596076,-4.98952286,0.64589412,-1.39596076,-4.98952286,0.64399020,-1.39596076,-4.98952286,0.64399020,-9.97625318,-9.97625318,-9.97625318,
11,0.38438171,-2.97413198,-1.97298619,0.38438171,0.69867768,-1.21303216,0.38438171,0.69867768,-1.21303216,0.23053302,0.69867768,-1.21303216,0.23053302,-3.67280965,-3.67280965,-3.67280965,
12,0.43758721,11.21486058,12.13357068,0.43758721,1.78562124,1.26410374,0.43758721,1.78562124,1.26410374,0.95608364,1.78562124,1.26410374,0.95608364,9.42923934,9.42923934,9.42923934,
13,0.29753461,9.76056335,-7.66231846,0.29753461,3.19860003,-5.12532571,0.29753461,3.19860003,-5.12532571,0.53320625,3.19860003,-5.12532571,0.53320625,6.56196332,6.56196332,6.56196332,
14,0.89177300,8.88718975,-1.54180973,0.89177300,3.55924271,-4.46128804,0.89177300,3.55924271,-4.46128804,0.50132438,3.55924271,-4.46128804,0.50132438,5.32794703,5.32794703,5.32794703,
15,0.05671298,1.42005701,3.82903738,0.05671298,0.26246668,-5.12620427,0.05671298,0.26246668,-5.12620427,0.65966841,0.26246668,-5.12620427,0.65966841,1.15759033,1.15759033,1.15759033,
16,0.96366276,-9.44754183,-9.88992508,0.96366276,-0.81912162,1.89718886,0.96366276,-0.81912162,1.89718886,0.72525428,-0.81912162,1.89718886,0.72525428,-8.62842021,-8.62842021,-8.62842021,
17,0.27265629,-16.64610983,12.40845002,0.27265629,-4.24622641,-2.11729503,0.27265629,-4.24622641,-2.11729503,0.58846508,-4.24622641,-2.11729503,0.58846508,-12.39988342,-12.39988342,-12.39988342,
18,0.38344152,0.80679664,-4.77670599,0.38344152,-0.06152662,-1.25862549,0.38344152,-0.06152662,-1.25862549,0.69253159,-0.06152662,-1.25862549,0.69253159,0.86832327,0.86832327,0.86832327,
19,0.47766511,-1.62124281,-2.32865685,0.47766511,-2.04723984,2.57145549,0.47766511,-2.04723984,2.57145549,0.96541622,-2.04723984,2.57145549,0.96541622,0.42599703,0.42599703,0.42599703,
20,0.79172503,5.83937172,-7.01805886,0.79172503,3.90286118,0.84838719,0.79172503,3.90286118,0.84838719,0.88173536,3.90286118,0.84838719,0.88173536,1.93651054,1.93651054,1.93651054,
21,0.81216873,12.42375404,-2.04224220,0.81216873,-0.92511991,-3.70593391,0.81216873,-0.92511991,-3.70593391,0.31321833,-0.92511991,-3.70593391,0.31321833,13.34887396,13.34887396,13.34887396,
22,0.52889492,7.65313346,-14.91998715,0.52889492,0.12948910,-0.35759944,0.52889492,0.12948910,-0.35759944,0.58127288,0.12948910,-0.35759944,0.58127288,7.52364436,7.52364436,7.52364436,
23,0.47997717,6.71762261,11.71037875,0.47997717,-2.08702603,0.88520986,0.47997717,-2.08702603,0.88520986,0.24979628,-2.08702603,0.88520986,0.24979628,8.80464863,8.80464863,8.80464863,
24,0.56804456,-23.91230483,-0.07724284,0.56804456,1.54539086,-4.03318615,0.56804456,1.54539086,-4.03318615,0.88110320,1.54539086,-4.03318615,0.88110320,-25.45769569,-25.45769569,-25.45769569,
25,0.39278479,2.56805899,-2.06432321,0.39278479,-0.41331678,-1.95557074,0.39278479,-0.41331678,-1.95557074,0.67543908,-0.41331678,-1.95557074,0.67543908,2.98137577,2.98137577,2.98137577,
26,0.92559663,-10.50568557,10.20311188,0.92559663,-2.93730126,0.25878826,0.92559663,-2.93730126,0.25878826,0.39650574,-2.93730126,0.25878826,0.39650574,-7.56838431,-7.56838431,-7.56838431,
27,0.83607877,5.93162661,4.07608623,0.83607877,-0.49543134,1.15067642,0.83607877,-0.49543134,1.15067642,0.41182014,-0.49543134,1.15067642,0.41182014,6.42705795,6.42705795,6.42705795,
28,0.07103606,-1.77825027,-1.45449496,0.07103606,0.37297619,-2.10706270,0.07103606,0.37297619,-2.10706270,0.81379782,0.37297619,-2.10706270,0.81379782,-2.15122647,-2.15122647,-2.15122647,
29,0.33739616,3.14275485,-6.50475302,0.33739616,5.48135031,0.49390852,0.33739616,5.48135031,0.49390852,0.76702370,5.48135031,0.49390852,0.76702370,-2.33859546,-2.33859546,-2.33859546,
30,0.08712930,4.30257137,3.55647771,0.08712930,1.62890473,-1.71002538,0.08712930,1.62890473,-1.71002538,0.29743695,1.62890473,-1.71002538,0.29743695,2.67366664,2.67366664,2.67366664,
31,0.64817188,-1.19634213,9.86067563,0.64817188,-4.11009724,2.93146061,0.64817188,-4.11009724,2.93146061,0.11620191,-4.11009724,2.93146061,0.11620191,2.91375511,2.91375511,2.91375511,
32,0.02021840,126.39627131,144.34026640,0.02021840,3.98176460,-2.27311487,0.02021840,3.98176460,-2.27311487,0.69947928,3.98176460,-2.27311487,0.69947928,122.41450671,122.41450671,122.41450671,
33,0.36824154,23.86496871,2.84502404,0.36824154,-1.57471778,0.75635294,0.36824154,-1.57471778,0.75635294,0.97857092,-1.57471778,0.75635294,0.97857092,25.43968648,25.43968648,25.43968648,
34,0.83261984,-7.85422070,8.80567929,0.83261984,-2.80705469,-0.63654240,0.83261984,-2.80705469,-0.63654240,0.84640867,-2.80705469,-0.63654240,0.84640867,-5.04716601,-5.04716601,-5.04716601,
35,0.95715515,3.40468473,-10.84164470,0.95715515,0.24380607,-1.93753004,0.95715515,0.24380607,-1.93753004,0.44919773,0.24380607,-1.93753004,0.44919773,3.16087866,3.16087866,3.16087866,
